1756943506.817805537,192.168.1.1,224.0.0.1,,,,,2,60
1756943506.817839903,192.168.1.73,239.255.255.250,,,61152,1900,17,167
1756943506.840752688,192.168.1.73,239.255.255.250,,,61152,1900,17,167
1756943506.960559889,192.168.1.73,239.255.255.250,,,61152,1900,17,167
1756943507.033878920,34.107.243.93,192.168.1.157,443,45012,,,6,90
1756943507.034138346,192.168.1.157,34.107.243.93,45012,443,,,6,94
1756943507.048167108,34.107.243.93,192.168.1.157,443,45012,,,6,66
1756943507.430365053,192.168.1.73,224.0.0.251,,,,,2,46
1756943513.203059295,192.168.1.157,80.58.61.250,,,56401,53,17,86
1756943513.203090378,192.168.1.157,80.58.61.250,,,42928,53,17,86
1756943513.223690331,192.168.1.157,142.250.200.78,37874,443,,,6,2365
1756943513.223864294,192.168.1.157,80.58.61.250,,,49427,53,17,94
1756943513.223892397,192.168.1.157,80.58.61.250,,,55052,53,17,94
1756943513.225363771,192.168.1.157,142.250.200.78,37874,443,,,6,323
1756943513.226775579,80.58.61.250,192.168.1.157,,,53,42928,17,264
1756943513.226775771,80.58.61.250,192.168.1.157,,,53,56401,17,232
1756943513.239941070,142.250.200.78,192.168.1.157,443,37874,,,6,66
1756943513.243546376,80.58.61.250,192.168.1.157,,,53,55052,17,302
1756943513.243597742,80.58.61.250,192.168.1.157,,,53,49427,17,206
1756943513.246749981,142.250.200.78,192.168.1.157,443,37874,,,6,66
1756943513.270997425,142.250.200.78,192.168.1.157,443,37874,,,6,135
1756943513.270997645,142.250.200.78,192.168.1.157,443,37874,,,6,97
1756943513.270997665,142.250.200.78,192.168.1.157,443,37874,,,6,105
1756943513.271029910,192.168.1.157,142.250.200.78,37874,443,,,6,66
1756943513.271038629,192.168.1.157,142.250.200.78,37874,443,,,6,66
1756943513.271040833,192.168.1.157,142.250.200.78,37874,443,,,6,66
1756943513.271241521,192.168.1.157,142.250.200.78,37874,443,,,6,105
1756943513.290450931,142.250.200.78,192.168.1.157,443,37874,,,6,66
1756943516.646416040,192.168.1.1,224.0.0.1,,,,,2,60
1756943516.851543271,192.168.1.73,239.255.255.250,,,61152,1900,17,167
1756943516.851543750,192.168.1.73,239.255.255.250,,,61152,1900,17,167
1756943516.947891478,192.168.1.73,239.255.255.250,,,61152,1900,17,167
1756943517.464015408,192.168.1.73,224.0.0.251,,,,,2,46
1756943519.164378210,192.168.1.157,142.250.200.78,37874,443,,,6,1723
1756943519.164404383,192.168.1.157,142.250.200.78,37874,443,,,6,4885
1756943519.167429822,192.168.1.157,142.250.200.78,37874,443,,,6,5666
1756943519.182129889,142.250.200.78,192.168.1.157,443,37874,,,6,66
1756943519.182130139,142.250.200.78,192.168.1.157,443,37874,,,6,66
1756943519.182130158,142.250.200.78,192.168.1.157,443,37874,,,6,66
1756943519.182130178,142.250.200.78,192.168.1.157,443,37874,,,6,66
1756943519.182130198,142.250.200.78,192.168.1.157,443,37874,,,6,66
1756943519.182166753,192.168.1.157,142.250.200.78,37874,443,,,6,349
1756943519.196687632,142.250.200.78,192.168.1.157,443,37874,,,6,66
1756943519.922996273,142.250.200.78,192.168.1.157,443,37874,,,6,139
1756943519.922996737,142.250.200.78,192.168.1.157,443,37874,,,6,1466
1756943519.922996789,142.250.200.78,192.168.1.157,443,37874,,,6,1466
1756943519.922996843,142.250.200.78,192.168.1.157,443,37874,,,6,1466
1756943519.922996897,142.250.200.78,192.168.1.157,443,37874,,,6,4266
1756943519.922996954,142.250.200.78,192.168.1.157,443,37874,,,6,6958
