1752519696.808165272,192.168.1.41,34.107.221.82,6,66
1752519696.808189213,192.168.1.41,34.107.221.82,6,66
1752519696.814639621,34.107.221.82,192.168.1.41,6,66
1752519696.814641434,34.107.221.82,192.168.1.41,6,66
1752519707.048048128,192.168.1.41,34.107.221.82,6,66
1752519707.048075046,192.168.1.41,34.107.221.82,6,66
1752519707.055027158,34.107.221.82,192.168.1.41,6,66
1752519707.055040122,34.107.221.82,192.168.1.41,6,66
1752519707.164544012,192.168.1.1,224.0.0.1,2,60
1752519707.368443157,192.168.1.34,224.0.0.1,2,46
1752519708.394119629,192.168.1.39,239.255.255.250,2,46
1752519708.394138706,192.168.1.39,224.0.0.251,2,46
1752519709.868728329,192.168.1.41,34.107.221.82,6,66
1752519709.868789855,192.168.1.41,34.107.221.82,6,66
1752519709.877050452,34.107.221.82,192.168.1.41,6,66
1752519709.877050713,34.107.221.82,192.168.1.41,6,66
1752519709.877114850,192.168.1.41,34.107.221.82,6,66
1752519709.877131347,192.168.1.41,34.107.221.82,6,66
1752519716.776263914,192.168.1.41,20.189.173.2,6,66
1752519716.995625993,20.189.173.2,192.168.1.41,6,66
1752519721.910562163,192.168.1.39,192.168.1.255,17,86
1752519722.320364582,192.168.1.1,224.0.0.1,2,56
1752519722.320365069,192.168.1.1,224.0.0.1,2,60
1752519722.935362100,192.168.1.39,224.0.0.251,2,46
1752519722.935390312,192.168.1.39,239.255.255.250,2,46
